sample_id,reconstruction_mse
C_0002,0.15319654
C_0003,0.078208864
C_0004,0.16413927
C_0005,0.15550411
C_0006,0.15130427
C_0008,0.14540966
C_0009,0.050808385
C_0010,0.05791496
C_0011,0.15818042
C_0012,0.076706804
C_0013,0.1907681
C_0014,0.22159202
C_0015,0.11878516
C_0016,0.10560077
C_0017,0.18015012
C_0018,0.062308006
C_0019,0.17529938
C_0020,0.119593374
C_0021,0.16129994
C_0022,0.1291113
C_0023,0.056750476
C_0024,0.1300582
C_0025,0.1347389
C_0026,0.14739347
C_0029,0.035808537
C_0031,0.096296035
C_0032,0.10365849
C_0033,0.10323619
C_0035,0.07807939
C_0036,0.16958785
C_0037,0.2397591
C_0038,0.081412256
C_0039,0.03734816
C_0050,0.09090438
C_0053,0.15611583
C_0060,0.029216813
C_0061,0.039040226
C_0062,0.26890916
C_0065,0.048933804
C_0069,0.08565676
C_0070,0.06647615
C_0071,0.095331155
C_0075,0.034776002
C_0076,0.18811217
C_0077,0.2539557
C_0081,0.19613412
C_0082,0.035160534
C_0083,0.1003142
C_0087,0.18942529
H_0001,0.053302575
H_0002,0.038286846
H_0003,0.039124496
H_0005,0.16542329
H_0006,0.070139445
H_0007,0.09683362
H_0008,0.10187819
H_0009,0.059028015
H_0010,0.22480373
H_0012,0.047492374
H_0013,0.05137698
H_0539,0.19988169
H_0657,0.03920201
H_0658,0.097358055
H_0681,0.067462645
H_0695,0.05698014
H_0700,0.067815326
H_0726,0.18131843
H_0740,0.046555504
H_0750,0.11013599
